ticker,company name,short name
CEO,CNOOC Limited,CNOOC Limited
CEPU,Central Puerto S.A. American Depositary Shares (each represents ten),Central Puerto S.A. American Depositary Shares (each represents ten)
CEQP,Crestwood Equity Partners LP,Crestwood Equity Partners
CERC,Cerecor,Cerecor
CERN,Cerner,Cerner
CERS,Cerus,Cerus
CET,Central Securities,Central Securities
CETV,Central European Media Enterprises.,Central European Media Enterprises
CETX,Cemtrex,Cemtrex
CEV,Eaton Vance California Municipalme Trust Shares of Beneficial Interest,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest
CEVA,CEVA,CEVA
CEW,WisdomTree Emerging Currency Strategy Fund,WisdomTree Emerging Currency Strategy Fund
CF,CF Industries Holdings,CF Industries
CFBI,Community First Bancshares,Community First Bancshares
CFBK,Central Federal,Central Federal
CFFI,C&F Financial,C&F Financial
CFFN,Capitol Federal Financial,Capitol Federal Financial
CFG,Citizens Financial Group,Citizens Financial
CFMS,Conformis,Conformis
CFR,Cullen/Frost Bankers,Cullen/Frost Bankers
CFRX,ContraFect,ContraFect
CFX,Colfax,Colfax
CG,The Carlyle Group L.P.,The Carlyle
CGA,China Green Agriculture,China Green Agriculture
CGBD,TCG BDC,TCG BDC
CGC,Canopy Growth,Canopy Growth
CGEN,Compugen.,Compugen
CGIX,Cancer Genetics,Cancer Genetics
CGNX,Cognex,Cognex
CGO,Calamos Global Total Return Fund,Calamos Global Total Return Fund
CGW,Invesco S&P Global Water Index,Invesco S&P Global Water Index
CHA,China Telecomp ADS,China Telecom ADS
CHAP,Chaparral Energy Class A,Chaparral Energy
CHCI,Comstock Holdingpanies,Comstock Holding Companies
CHCO,City Holdingpany,City Holding Company
CHCT,Community Healthcare Trustrporated,Community Healthcare Trust Incorporated
CHD,Church & Dwightpany,Church & Dwight Company
CHDN,Churchill Downsrporated,Churchill Downs Incorporated
CHE,Chemedp,Chemed
CHEF,The Chefs' Warehouse,The Chefs' Warehouse
CHEK,Check-Cap.,Check-Cap
CHEP,AGFiQ U.S. Market Neutral Value Fund,AGFiQ U.S. Market Neutral Value Fund
CHFC,Chemical Financial,Chemical Financial
CHFS,CHF Solutions,CHF Solutions
CHGG,Chegg,Chegg
CHH,Choice Hotels International,Choice Hotels International
CHI,Calamosvertible Opportunities andme Fund,Calamos Convertible Opportunities and Income Fund
CHIC,Global X MSCI Chinamunication Services ETF,Global X MSCI China Communication Services ETF
CHIE,Global X MSCI China Energy,Global X MSCI China Energy
CHII,Global X MSCI China Industrials,Global X MSCI China Industrials
CHIQ,Global X MSCI Chinasumer Discretionary,Global X MSCI China Consumer Discretionary
CHIX,Global X MSCI China Financials,Global X MSCI China Financials
CHK,Chesapeake Energy,Chesapeake Energy
CHKE,Cherokee,Cherokee
CHKP,Check Point Software.,Check Point Software
CHKR,Chesapeake Granite Wash Trust representing beneficial interests in the Trust,Chesapeake Granite Wash Trust representing beneficial interests in the Trust
CHL,China Mobile Limited,China Mobile Limited
CHMA,Chiasma,Chiasma
CHMG,Chemung Financialp,Chemung Financial
CHMI,Cherry Hill Mortgage Investment,Cherry Hill Mortgage Investment
CHN,China Fund (The),China Fund (The)
CHNR,China Natural Resources,China Natural Resources
CHRA,Charah Solutions,Charah Solutions
CHRS,Coherus BioSciences,Coherus BioSciences
CHRW,C.H. Robinson Worldwide,C.H. Robinson Worldwide
CHS,Chico's FAS,Chico's FAS
CHSP,Chesapeake Lodging Trust of Beneficial Interest,Chesapeake Lodging Trust of Beneficial Interest
CHT,Chunghwa Telecom.,Chunghwa Telecom Co.
CHTR,Chartermunications,Charter Communications
CHU,China Unicom (Hong Kong),China Unicom (Hong Kong)
CHUY,Chuy's Holdings,Chuy's
CHW,Calamos Global Dynamicme Fund,Calamos Global Dynamic Income Fund
CHY,Calamosvertible and Highme Fund,Calamos Convertible and High Income Fund
CI,Cigna,Cigna
CIA,Citizens Class A ($1.00 Par),Citizens ($1.00 Par)
CIB,BanColombia S.A.,BanColombia S.A.
CIC,Capitol Investmentp. IV Class A,Capitol Investment IV
CIDM,Cinedigmp,Cinedigm
CIEN,Ciena,Ciena
CIF,MFS Intermediate Highme Fund,MFS Intermediate High Income Fund
CIFS,China Internet Nationwide Financial Services,China Internet Nationwide Financial Services
CIG,Comp En De Mn Cemig ADS American Depositary Shares,Comp En De Mn Cemig ADS American Depositary Shares
CIG.C,Comp En De Mn Cemig ADS American Depositary Receipts,Comp En De Mn Cemig ADS American Depositary Receipts
CIGI,Colliers International Group,Colliers International
CII,Blackrock Capital andme Fund,Blackrock Capital and Income Fund
CIK,Credit Suisse Asset Managementme Fund,Credit Suisse Asset Management Income Fund
CIM,Chimera Investment,Chimera Investment
CINF,Cincinnati Financial,Cincinnati Financial
CINR,Ciner Resources LP representing Limited Partner Interests,Ciner Resources representing Limited Partner Interests
CIO,City Office REIT,City Office REIT
CIR,CIRCOR International,CIRCOR International
CISN,Cision.,Cision
CIT,CIT Group(DEL),CIT (DEL)
CIVB,Civista Bancshares,Civista Bancshares
CIVI,Civitas Solutions,Civitas Solutions
CIX,CompX International,CompX International
CIZN,Citizens Holdingpany,Citizens Holding Company
CJ,C&J Energy Services,C&J Energy Services
CJJD,China Jo-Jo Drugstores,China Jo-Jo Drugstores
CJNK,SPDR ICE BofAML Crossoverporate Bond,SPDR ICE BofAML Crossover Corporate Bond
CKH,SEACOR Holdings,SEACOR
CKPT,Checkpoint Therapeutics,Checkpoint Therapeutics
CKX,CKX Lands,CKX Lands
CL,Colgate-Palmolivepany,Colgate-Palmolive Company
CLAR,Clarus,Clarus
CLB,Core Laboratories N.V.,Core Laboratories N.V.
CLBK,Columbia Financial,Columbia Financial
CLBS,Caladrius Biosciences,Caladrius Biosciences
CLCT,Collectors Universe,Collectors Universe
CLD,Cloud Peak Energy,Cloud Peak Energy
CLDC,China Lending,China Lending
CLDR,Cloudera,Cloudera
CLDT,Chatham Lodging Trust (REIT) of Beneficial Interest,Chatham Lodging Trust (REIT) of Beneficial Interest
CLDX,Celldex Therapeutics,Celldex Therapeutics
CLF,Cleveland-Cliffs,Cleveland-Cliffs
CLFD,Clearfield,Clearfield
CLGN,CollPlant Holdings.,CollPlant
CLGX,CoreLogic,CoreLogic
CLH,Clean Harbors,Clean Harbors
CLI,Mack-Cali Realty,Mack-Cali Realty
CLIR,ClearSignbustion,ClearSign Combustion
CLLS,Cellectis S.A.,Cellectis S.A.
CLM,Cornerstone Strategic Value Fund,Cornerstone Strategic Value Fund
CLMT,Calumet Specialty Products Partners L.P.,Calumet Specialty Products Partners
CLNC,Colony Credit Real Estate Class A,Colony Credit Real Estate
CLNE,Clean Energy Fuelsp.,Clean Energy Fuels
CLNY,Colony Capital,Colony Capital
CLPR,Clipper Realty,Clipper Realty
CLPS,CLPSrporation,CLPS Incorporation
CLR,Continental Resources,Continental Resources
CLRB,Cellectar Biosciences,Cellectar Biosciences
CLRO,ClearOne,ClearOne
CLS,Celestica,Celestica
CLSD,Clearside Biomedical,Clearside Biomedical
CLSN,Celsion,Celsion
CLUB,Town Sports International Holdings,Town Sports International
CLVS,Clovis Oncology,Clovis Oncology
CLW,Clearwater Paper,Clearwater Paper
CLWT,Euro Tech Holdingspany Limited,Euro Tech Company Limited
CLX,Cloroxpany (The),Clorox Company (The)
CLXT,Calyxt,Calyxt
CM,Canadian Imperial Bank ofmerce,Canadian Imperial Bank of Commerce
CMA,Comericarporated,Comerica Incorporated
CMBS,iShares CMBS Bond,iShares CMBS Bond
CMC,Commercial Metalspany,Commercial Metals Company
CMCL,Caledonia Mining Plc,Caledonia Mining Plc
CMCM,Cheetah Mobile American Depositary Shares each representing 10 Class,Cheetah Mobile American Depositary Shares each representing 10
CMCO,Columbus McKinnon,Columbus McKinnon
CMCSA,Comcast Class Amon Stock,Comcast Common Stock
CMCT,CIMmercial Trust,CIM Commercial Trust
CMD,Cantel Medicalp.,Cantel Medical
CME,CME Group,CME
CMF,iShares California Muni Bond,iShares California Muni Bond
CMFN,CM Finance,CM Finance
CMG,Chipotle Mexican Grill,Chipotle Mexican Grill
CMI,Cummins,Cummins
CMLS,Cumulus Media,Cumulus Media
CMO,Capstead Mortgage,Capstead Mortgage
CMP,Compass Minerals Intl,Compass Minerals Intl
CMPR,Cimpress N.V,Cimpress N.V
CMRE,Costamare $0.0001 par value,Costamare $0.0001 par value
CMRX,Chimerix,Chimerix
CMS,CMS Energy,CMS Energy
CMSS,CM Seven Star Acquisition,CM Seven Star Acquisition
CMT,Core Molding,Core Molding
CMTA,Clementia Pharmaceuticals,Clementia Pharmaceuticals
CMTL,Comtech Telecommunicationsp.,Comtech Telecommunications
CMU,MFS Municipalme Trust,MFS Municipal Income Trust
CNA,CNA Financial,CNA Financial
CNAC,Constellation Alpha Capitalp.,Constellation Alpha Capital
CNAT,Conatus Pharmaceuticals,Conatus Pharmaceuticals
CNBKA,Century Bancorp Class Amon Stock,Century Bancorp Common Stock
CNC,Centene,Centene
CNCE,Concert Pharmaceuticals,Concert Pharmaceuticals
CNDT,Conduentrporated,Conduent Incorporated
CNET,ChinaNet Online Holdings,ChinaNet Online
CNF,CNFinance Holdings Limited American Depositary Shares each representing twenty (20),CNFinance Limited American Depositary Shares each representing twenty (20)
CNFR,Conifer Holdings,Conifer
CNHI,CNH Industrial N.V.,CNH Industrial N.V.
CNI,Canadian National Railwaypany,Canadian National Railway Company
CNK,Cinemark HoldingsInc.,Cinemark
CNMD,CONMED,CONMED
CNNE,Cannae Holdings,Cannae
CNO,CNO Financial Group,CNO Financial
CNOB,ConnectOne Bancorp,ConnectOne Bancorp
CNP,CenterPoint Energy(Holding,CenterPoint Energy (Holding Co)
CNQ,Canadian Natural Resources Limited,Canadian Natural Resources Limited
CNS,Cohen & Steers,Cohen & Steers
CNSL,Consolidatedmunications Holdings,Consolidated Communications
CNST,Constellation Pharmaceuticals,Constellation Pharmaceuticals
CNTF,China TechFaith Wirelessmunication Technology Limited,China TechFaith Wireless Communication Technology Limited
CNTY,Century Casinos,Century Casinos
CNX,CNX Resources,CNX Resources
CNXM,CNX Midstream Partners LP representing limited partner interests,CNX Midstream Partners representing limited partner interests
CNXN,PCnection,PC Connection
CNXT,VanEck Vectors ChinaAMC SME-ChNext,VanEck Vectors ChinaAMC SME-ChNext
CNY,Market Vectors Chinese Renminbi/USD ETN,Market Vectors Chinese Renminbi/USD ETN
CO,Globald Blood,Global Cord Blood
COCP,Cocrystal Pharma,Cocrystal Pharma
CODA,Coda Octopus Group,Coda Octopus
CODI,Compass Diversified Holdings Shares of Beneficial Interest,Compass Diversified Shares of Beneficial Interest
CODX,Co-Diagnostics,Co-Diagnostics
COE,China Online Education Group American depositary shares each representing 15 Class A,China Online Education American depositary shares each representing 15
COF,Capital One Financial,Capital One Financial
COG,Cabot Oil & Gas,Cabot Oil & Gas
COHN,Cohen &pany,Cohen & Company
COHR,Coherent,Coherent
COHU,Cohu,Cohu
COKE,Coca-Colasolidated,Coca-Cola Consolidated
COLB,Columbia Banking System,Columbia Banking System
COLD,Americold Realty Trust,Americold Realty Trust
COLL,Collegium Pharmaceutical,Collegium Pharmaceutical
COLM,Columbia Sportswearpany,Columbia Sportswear Company
COMM,CommScope Holdingpany,CommScope Holding Company
CONE,CyrusOne,CyrusOne
CONN,Conn's,Conn's
COO,Theperpanies,The Cooper Companies
COOP,Mr.per Group,Mr. Cooper
COP,ConocoPhillips,ConocoPhillips
COR,CoreSite Realty,CoreSite Realty
CORE,Core-Mark Holdingpany,Core-Mark Holding Company
CORN,Teucriumn Fund ETV,Teucrium Corn Fund ETV
CORP,Pimco Investment Gradeporate Bond Index Exchange-Traded Fund,Pimco Investment Grade Corporate Bond Index Exchange-Traded Fund
CORR,CorEnergy Infrastructure Trust,CorEnergy Infrastructure Trust
CORT,Corcept Therapeuticsrporated,Corcept Therapeutics Incorporated
CORV,Correvio Pharmap.,Correvio Pharma
COST,Costco Wholesale,Costco Wholesale
COT,Cott,Cott
COTY,Coty Class A,Coty
COUP,Coupa Softwarerporated,Coupa Software Incorporated
COWN,Cowen,Cowen
CP,Canadian Pacific Railway Limited,Canadian Pacific Railway Limited
CPA,Copa Holdings S.A. Class A,Copa S.A.
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five),Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five)
CPAH,CounterPath,CounterPath
CPB,Campbell Souppany,Campbell Soup Company
CPE,Callon Petroleumpany,Callon Petroleum Company
CPER,United Statesper Index Fund ETV,United States Copper Index Fund ETV
CPF,Central Pacific Financialp New,Central Pacific Financial New
CPG,Crescent Point Energy (Canada),Crescent Point Energy (Canada)
CPHC,Canterbury Park Holding,Canterbury Park Holding
CPHI,China Pharma Holdings,China Pharma
CPI,IQ Real Return,IQ Real Return
CPIX,Cumberland Pharmaceuticals,Cumberland Pharmaceuticals
CPK,Chesapeake Utilities,Chesapeake Utilities
CPL,CPFL Energia S.A. American Depositary Shares,CPFL Energia S.A. American Depositary Shares
CPLG,CorePoint Lodging,CorePoint Lodging
CPLP,Capital Product Partners L.P.,Capital Product Partners
CPRI,Capri Holdings Limited,Capri Limited
CPRT,Copart,Copart
CPRX,Catalyst Pharmaceuticals,Catalyst Pharmaceuticals
CPS,Cooper-Standard Holdings,Cooper-Standard
CPSH,CPSp.,CPS
CPSI,Computer Programs and Systems,Computer Programs and Systems
CPSS,Consumer Portfolio Services,Consumer Portfolio Services
CPST,Capstone Turbine,Capstone Turbine
CPT,Camden Property Trust,Camden Property Trust
CPTA,Capitala Financep.,Capitala Finance
CQP,Cheniere Energy Partners LP,Cheniere Energy Partners
CR,Crane,Crane Co.
CRAI,CRA InternationalInc.,CRA InternationalInc.
CRAY,Cray,Cray
CRBP,Corbus Pharmaceuticals Holdings,Corbus Pharmaceuticals
CRC,California Resources,California Resources
CRCM,Care.com,Care.com
CRD.A,Crawford &pany,Crawford & Company
CRD.B,Crawford &pany,Crawford & Company
CREE,Cree,Cree
CREG,China Recycling Energy,China Recycling Energy
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares each representing ten shares ofmon Stock,Cresud S.A.C.I.F. y A. American Depositary Shares each representing ten shares of Common Stock
CREX,Creative Realities,Creative Realities
CRF,Cornerstone Total Return Fund (The),Cornerstone Total Return Fund (The)
CRH,CRH PLC American Depositary Shares,CRH PLC American Depositary Shares
CRHM,CRH Medical of Beneficial Interest,CRH Medical of Beneficial Interest
CRI,Carter's,Carter's
CRIS,Curis,Curis
CRK,Comstock Resources,Comstock Resources
CRL,Charles River Laboratories International,Charles River Laboratories International
CRM,Salesforce.com,Salesforce
CRMD,CorMedix,CorMedix
CRMT,America's Car-Mart,America's Car-Mart
CRNT,Ceragon Networks.,Ceragon Networks
CRNX,Crinetics Pharmaceuticals,Crinetics Pharmaceuticals
CROC,ProShares UltraShort Australian Dollar,ProShares UltraShort Australian Dollar
CRON,Cronos Group,Cronos
CROP,IQ Global Agribusiness Small Cap,IQ Global Agribusiness Small Cap
CROX,Crocs,Crocs
CRR,Carbo Ceramics,Carbo Ceramics
CRS,Carpenter Technology,Carpenter Technology
CRSP,CRISPR Therapeutics AG,CRISPR Therapeutics AG
CRT,Cross Timbers Royalty Trust,Cross Timbers Royalty Trust
CRTO,Criteo S.A.,Criteo S.A.
CRUS,Cirrus Logic,Cirrus Logic
CRVL,CorVelp.,CorVel
CRVS,Corvus Pharmaceuticals,Corvus Pharmaceuticals
CRWS,Crown Crafts,Crown Crafts
CRY,CryoLife,CryoLife
CRZO,Carrizo Oil & Gas,Carrizo Oil & Gas
CS,Credit Suisse Group American Depositary Shares,Credit Suisse American Depositary Shares
CSBR,Champions Oncology,Champions Oncology
CSCO,Cisco Systems,Cisco Systems
CSD,Invesco S&P Spin-Off,Invesco S&P Spin-Off
CSFL,CenterState Bank,CenterState Bank
CSGP,CoStar Group,CoStar
CSGS,CSG Systems International,CSG Systems International
CSII,Cardiovascular Systems,Cardiovascular Systems
CSIQ,Canadian Solar,Canadian Solar
CSL,Carlislepaniesrporated,Carlisle Companies Incorporated
CSLT,Castlight Health Class B,Castlight Health B
CSM,ProShares Large Cape Plus,ProShares Large Cap Core Plus
CSOD,Cornerstone OnDemand,Cornerstone OnDemand
CSPI,CSP,CSP
CSQ,Calamos Strategic Total Return Fund,Calamos Strategic Total Return Fund
CSS,CSS Industries,CSS Industries
CSSE,Chicken Soup for the Soul Entertainment,Chicken Soup for the Soul Entertainment
CSTE,Caesarstone.,Caesarstone
CSTM,Constellium N.V.,Constellium N.V.
CSTR,CapStar Financial Holdings,CapStar Financial
CSU,Capital Senior Living,Capital Senior Living
CSV,Carriage Services,Carriage Services
CSWC,Capital Southwest,Capital Southwest
CSWI,CSW Industrials,CSW Industrials
CSX,CSX,CSX
CTAC,ChaSerg Technology Acquisitionp.,ChaSerg Technology Acquisition
CTAS,Cintas,Cintas
CTB,Cooper Tire & Rubberpany,Cooper Tire & Rubber Company
CTBI,Community Trust Bancorp,Community Trust Bancorp
CTEK,CynergisTek,CynergisTek
CTG,Computer Task Grouprporated,Computer Task Incorporated
CTHR,Charles &vard.,Charles & Colvard
CTIB,CTI Industries,CTI Industries
CTIC,CTI BioPharmap.,CTI BioPharma
CTK,CooTek (Cayman) American Depositary Shares each representing 50 Class A,CooTek (Cayman) American Depositary Shares each representing 50
CTL,CenturyLink,CenturyLink
CTLT,Catalent,Catalent
CTMX,CytomX Therapeutics,CytomX Therapeutics
CTO,Consolidated-Tomoka Land,Consolidated-Tomoka Land Co.
CTR,ClearBridge MLP and Midstream Total Return Fund,ClearBridge MLP and Midstream Total Return Fund
CTRA,Contura Energy,Contura Energy
CTRC,Centric Brands,Centric Brands
CTRE,CareTrust REIT,CareTrust REIT
CTRL,Control4,Control4
CTRN,Citi Trends,Citi Trends
CTRP,Ctrip.com International.,Ctrip.com International
CTRV,ContraVir Pharmaceuticals,ContraVir Pharmaceuticals
CTS,CTS,CTS
CTSH,Cognizant Technology Solutions,Cognizant Technology Solutions
CTSO,CytoSorbents,CytoSorbents
CTT,CatchMark Timber Trust Class A,CatchMark Timber Trust
CTWS,Connecticut Water Service,Connecticut Water Service
CTXR,Citius Pharmaceuticals,Citius Pharmaceuticals
CTXS,Citrix Systems,Citrix Systems
CUB,Cubic,Cubic
CUBA,The Herzfeld Caribbean Basin Fund,The Herzfeld Caribbean Basin Fund
CUBE,CubeSmart,CubeSmart
CUBI,Customers Bancorp,Customers Bancorp
CUE,Cue Biopharma,Cue Biopharma
CUI,CUI Global,CUI Global
CUK,Carnival Plc ADS ADS,Carnival Plc ADS ADS
CULP,Culp,Culp
CUO,Continental Materials,Continental Materials
CUR,Neuralstem,Neuralstem
CURE,Direxion Daily Healthcare Bull 3X Shares,Direxion Daily Healthcare Bull 3X Shares
CURO,CURO Group Holdingsp.,CURO
CUT,Invesco MSCI Global Timber,Invesco MSCI Global Timber
CUTR,Cutera,Cutera
CUZ,Cousins Propertiesrporated,Cousins Properties Incorporated
CVA,Covanta Holding,Covanta Holding
CVBF,CVB Financial,CVB Financial
CVCO,Cavco Industries,Cavco Industries
CVCY,Central Valleymunity Bancorp,Central Valley Community Bancorp
CVE,Cenovus Energy,Cenovus Energy
CVEO,Civeo (Canada),Civeo (Canada)
CVGI,Commercial Vehicle Group,Commercial Vehicle
CVGW,Calavo Growers,Calavo Growers
CVI,CVR Energy,CVR Energy
CVIA,Covia Holdings,Covia
CVLT,Commvault Systems,Commvault Systems
CVLY,Codorus Valley Bancorp,Codorus Valley Bancorp
CVM,Cel-Sci ($0.001 Par Value),Cel-Sci ($0.001 Par Value)
CVNA,Carvana Class A,Carvana Co.
CVR,Chicago Rivet & Machine,Chicago Rivet & Machine Co.
CVRS,Corindus Vascular Robotics (DE),Corindus Vascular Robotics (DE)
CVS,CVS Health,CVS Health
CVTI,Covenant Transportation Group,Covenant Transportation
CVU,CPI Aerostructures,CPI Aerostructures
CVV,CVD Equipment,CVD Equipment
CVX,Chevron,Chevron
CVY,Invesco Zacks Multi-Assetme,Invesco Zacks Multi-Asset Income
CW,Curtiss-Wright,Curtiss-Wright
CWB,SPDR Bloomberg Barclaysvertible Securities,SPDR Bloomberg Barclays Convertible Securities
CWBC,Community West Bancshares,Community West Bancshares
CWBR,CohBar,CohBar
CWCO,Consolidated Water.,Consolidated Water Co.
CWEN,Clearway Energy Class C,Clearway Energy C
CWEN.A,Clearway Energy Class A,Clearway Energy
CWH,Camping World Holdings Class Amom Stock,Camping World Commom Stock
CWI,SPDR MSCI ACWI ex-US,SPDR MSCI ACWI ex-US
CWK,Cushman & Wakefield plc,Cushman & Wakefield plc
CWST,Casella Waste Systems,Casella Waste Systems
CWT,California Water Service Group,California Water Service
CX,Cemex S.A.B. de C.V. Sponsored ADR,Cemex S.A.B. de C.V. Sponsored
CXDC,China XD Plasticspany Limited,China XD Plastics Company Limited
CXE,MFS Highme Municipal Trust,MFS High Income Municipal Trust
CXH,MFS Investment Grade Municipal Trust,MFS Investment Grade Municipal Trust
CXO,Concho Resources,Concho Resources
CXP,Columbia Property Trust,Columbia Property Trust
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,WisdomTree China ex-State-Owned Enterprises Fund
CXW,CoreCivic,CoreCivic
CY,Cypress Semiconductor,Cypress Semiconductor
CYAD,Celyad SA,Celyad SA
CYAN,Cyanotech,Cyanotech
CYB,WisdomTree Chinese Yuan Strategy Fund,WisdomTree Chinese Yuan Strategy Fund
CYBE,CyberOptics,CyberOptics
CYBR,CyberArk Software.,CyberArk Software
CYCC,Cyclacel Pharmaceuticals,Cyclacel Pharmaceuticals
CYD,China Yuchai International Limited,China Yuchai International Limited
CYH,Community Health Systems,Community Health Systems
CYOU,Changyou.com Limited,Changyou.com Limited
CYRN,CYREN.,CYREN
CYRX,CryoPort,CryoPort
CYTK,Cytokineticsrporated,Cytokinetics Incorporated
CYTR,CytRx,CytRx
CYTX,Cytori Therapeutics,Cytori Therapeutics
CZA,Invesco Zacks Mid-Cap,Invesco Zacks Mid-Cap
CZFC,Citizens First,Citizens First
CZNC,Citizens & Northernp,Citizens & Northern
CZR,Caesars Entertainment,Caesars Entertainment
CZWI,Citizensmunity Bancorp,Citizens Community Bancorp
CZZ,Cosan Limited Class A,Cosan Limited
D,Dominion Energy,Dominion Energy
DAC,Danaos,Danaos
DAG,DB Agriculture Double Long ETN due April 1 2038,DB Agriculture Double Long ETN due April 1 2038
DAIO,Data I/O,Data I/O
DAKT,Daktronics,Daktronics
DAL,Delta Air Lines,Delta Air Lines
DAN,Danarporated,Dana Incorporated
DAR,Darling Ingredients,Darling Ingredients
DARE,Dare Bioscience,Dare Bioscience
DATA,Tableau Software Class A,Tableau Software
DAVA,Endava plc American Depositary Shares (each representing one Class A),Endava plc American Depositary Shares (each representing one A)
DAVE,Famous Dave's of America,Famous Dave's of America
DB,Deutsche Bank AG,Deutsche Bank AG
DBA,Invesco DB Agriculture Fund,Invesco DB Agriculture Fund
DBB,Invesco DB Base Metals Fund,Invesco DB Base Metals Fund
DBC,Invesco DBmodity Index Tracking Fund,Invesco DB Commodity Index Tracking Fund
DBD,Diebold Nixdorfrporated,Diebold Nixdorf Incorporated
DBE,Invesco DB Energy Fund,Invesco DB Energy Fund
DBEF,Xtrackers MSCI EAFE Hedged Equity,Xtrackers MSCI EAFE Hedged Equity
DBEM,Xtrackers MSCI Emerging Markets Hedged Equity,Xtrackers MSCI Emerging Markets Hedged Equity
DBGR,Xtrackers MSCI Germany Hedged Equity,Xtrackers MSCI Germany Hedged Equity
DBL,DoubleLine Opportunistic Credit Fund of Beneficial Interest,DoubleLine Opportunistic Credit Fund of Beneficial Interest
DBLV,AdvisorShares DoubleLine Value Equity,AdvisorShares DoubleLine Value Equity
DBO,Invesco DB Oil Fund,Invesco DB Oil Fund
DBP,Invesco DB Precious Metals Fund,Invesco DB Precious Metals Fund
DBS,Invesco DB Silver Fund,Invesco DB Silver Fund
DBV,Invesco DB G10 Currency Harvest Fund,Invesco DB G10 Currency Harvest Fund
DBVT,DBV S.A.,DBV S.A.
DBX,Dropbox,Dropbox
DCAR,DropCar,DropCar
DCF,Dreyfus Alcentra Global Creditme 2024 Target Term Fund,Dreyfus Alcentra Global Credit Income 2024 Target Term Fund
DCI,Donaldsonpany,Donaldson Company
DCIX,Dianatainerships,Diana Containerships
DCO,Ducommunrporated,Ducommun Incorporated
DCOM,Dimemunity Bancshares,Dime Community Bancshares
DCP,DCP Midstream LP,DCP Midstream
DCPH,Deciphera Pharmaceuticals,Deciphera Pharmaceuticals
DDD,3D Systems,3D Systems
DDE,Dover Downs Gaming & Entertainment,Dover Downs Gaming & Entertainment
DDF,Delaware Investments Dividend &me Fund,Delaware Investments Dividend & Income Fund
DDG,ProShares Short Oil & Gas,ProShares Short Oil & Gas
DDM,ProShares Ultra Dow30,ProShares Ultra Dow30
DDMX,DD3 Acquisitionp.,DD3 Acquisition
DDMXU,DD3 Acquisitionp. Units,DD3 Acquisition Units
DDP,DBmodity Short ETN due April 1 2038,DB Commodity Short ETN due April 1 2038
DDS,Dillard's,Dillard's
DE,Deere &pany,Deere & Company
DEA,Easterly Government Properties,Easterly Government Properties
DECK,Deckers Outdoor,Deckers Outdoor
DEF,Invesco Defensive Equity,Invesco Defensive Equity
DEI,Douglas Emmett,Douglas Emmett
DELL,Dell Class C,Dell C
DELT,Delta Technology Holdings Limited,Delta Technology Limited
DEM,WisdomTree Emerging Markets High Dividend Fund,WisdomTree Emerging Markets High Dividend Fund
DENN,Denny's,Denny's
DEO,Diageo plc,Diageo plc
DERM,Dermira,Dermira
DES,WisdomTree U.S. SmallCap Dividend Fund,WisdomTree U.S. SmallCap Dividend Fund
DESP,Despegar.comp.,Despegar.com
DEST,Destination Maternity,Destination Maternity
DEW,WisdomTree Global High Dividend Fund,WisdomTree Global High Dividend Fund
DEX,Delaware Enhanced Global Dividend of Beneficial Interest,Delaware Enhanced Global Dividend of Beneficial Interest
DF,Dean Foodspany,Dean Foods Company
DFBH,DFB Healthcare Acquisitionsp.,DFB Healthcare Acquisitions
DFE,WisdomTree Europe SmallCap Dividend Fund,WisdomTree Europe SmallCap Dividend Fund
DFFN,Diffusion Pharmaceuticals,Diffusion Pharmaceuticals
DFIN,Donnelley Financial Solutions,Donnelley Financial Solutions
DFJ,WisdomTree Japan SmallCap Fund,WisdomTree Japan SmallCap Fund
DFP,Flaherty & Crumrine Dynamic Preferred andme Fund,Flaherty & Crumrine Dynamic Preferred and Income Fund
DFRG,Del Frisco's Restaurant Group,Del Frisco's Restaurant
DFS,Discover Financial Services,Discover Financial Services
DFVL,iPath US Treasury 5 Year Bull ETN,iPath US Treasury 5 Year Bull ETN
DFVS,iPath US Treasury 5-year Bear ETN,iPath US Treasury 5-year Bear ETN
DG,Dollar General,Dollar General
DGICA,Donegal Group Class Amon Stock,Donegal Common Stock
DGICB,Donegal Group Class Bmon Stock,Donegal B Common Stock
DGII,Digi International,Digi International
DGL,Invesco DB Gold Fund,Invesco DB Gold Fund
DGLY,Digital Ally,Digital Ally
DGP,DB Gold Double Long ETN due February 15 2038,DB Gold Double Long ETN due February 15 2038
DGS,WisdomTree Emerging Market SmallCap Fund,WisdomTree Emerging Market SmallCap Fund
DGSE,DGSEpanies,DGSE Companies
DGT,SPDR Global Dow ETF (based on The Global Dow),SPDR Global Dow ETF (based on The Global Dow)
DGX,Quest Diagnosticsrporated,Quest Diagnostics Incorporated
DGZ,DB Gold Short ETN due February 15 2038,DB Gold Short ETN due February 15 2038
DHF,Dreyfus High Yield Strategies Fund,Dreyfus High Yield Strategies Fund
DHI,D.R. Horton,D.R. Horton
DHIL,Diamond Hill Investment Group,Diamond Hill Investment
DHR,Danaher,Danaher
DHS,WisdomTree U.S. High Dividend Fund,WisdomTree U.S. High Dividend Fund
