Date,1. open,2. high,3. low,4. close,5. volume
2024-01-25,195.2200,196.2675,193.1125,194.1700,54822126
2024-01-24,195.4200,196.3800,194.3400,194.5000,53463269
2024-01-23,195.0200,195.7500,193.8299,195.1800,42355590
2024-01-22,192.3000,195.3300,192.2600,193.8900,60133852
2024-01-19,189.3300,191.9500,188.8200,191.5600,68902985
2024-01-18,186.0900,189.1400,185.8300,188.6300,78005754
2024-01-17,181.2700,182.9300,180.3000,182.6800,47317433
2024-01-16,182.1600,184.2600,180.9340,183.6300,65603041
2024-01-12,186.0600,186.7400,185.1900,185.9200,40477782
2024-01-11,186.5400,187.0500,183.6200,185.5900,49128408
2024-01-10,184.3500,186.4000,183.9200,186.1900,46792908
2024-01-09,183.9200,185.1500,182.7300,185.1400,42841809
2024-01-08,182.0850,185.6000,181.5000,185.5600,59144470
2024-01-05,181.9900,182.7600,180.1700,181.1800,62196924
2024-01-04,182.1500,183.0872,180.8800,181.9100,71983570
2024-01-03,184.2200,185.8800,183.4300,184.2500,58414460
2024-01-02,187.1500,188.4400,183.8850,185.6400,82488674
2023-12-29,193.9000,194.4000,191.7250,192.5300,42672148
2023-12-28,194.1400,194.6600,193.1700,193.5800,34049898
2023-12-27,192.4900,193.5000,191.0900,193.1500,47899806
2023-12-26,193.6100,193.8900,192.8300,193.0500,28919310
2023-12-22,195.1800,195.4100,192.9700,193.6000,37149570
2023-12-21,196.1000,197.0800,193.5000,194.6800,46482549
2023-12-20,196.9000,197.6800,194.8300,194.8300,52242815
